efficiency,start_time,time_offset,end_time
92.98969,2018-11-04 03:50:00.000,UTC-0400,2018-11-04 11:54:00.000
96.22093,2018-03-12 03:17:00.000,UTC-0300,2018-03-12 09:00:00.000
92.227974,2018-04-25 07:17:00.000,UTC-0300,2018-04-25 10:29:00.000
87.70053,2018-02-08 03:59:00.000,UTC-0400,2018-02-08 10:12:00.000
88.42105,2018-11-21 10:04:00.000,UTC-0400,2018-11-21 11:39:00.000
93.98663,2018-10-29 02:57:00.000,UTC-0300,2018-10-29 10:26:00.000
94.67456,2018-04-08 01:46:00.000,UTC-0300,2018-04-08 07:23:00.000
90.98901,2018-09-15 03:40:00.000,UTC-0300,2018-09-15 11:15:00.000
92.55533,2018-11-24 02:10:00.000,UTC-0400,2018-11-24 10:26:00.000
90.66265,2018-08-21 22:04:00.000,UTC+0300,2018-08-22 03:35:00.000
89.709175,2018-08-19 21:59:00.000,UTC+0300,2018-08-20 05:25:00.000
88.65248,2018-07-03 03:06:00.000,UTC-0300,2018-07-03 10:08:00.000
93.45795,2018-07-06 01:58:00.000,UTC-0300,2018-07-06 10:52:00.000
90.130356,2018-12-12 04:07:00.000,UTC-0400,2018-12-12 13:03:00.000
89.980736,2018-11-23 03:14:00.000,UTC-0400,2018-11-23 11:52:00.000
82.96296,2018-12-29 20:07:00.000,UTC-0400,2018-12-29 22:21:00.000
89.66292,2018-09-18 02:16:00.000,UTC-0300,2018-09-18 09:40:00.000
91.39785,2018-11-20 03:17:00.000,UTC-0400,2018-11-20 09:28:00.000
89.756096,2018-08-14 03:42:00.000,UTC-0300,2018-08-14 10:44:00.000
88.58351,2018-11-11 04:48:00.000,UTC-0400,2018-11-11 12:40:00.000
90.804596,2018-07-28 02:50:00.000,UTC-0300,2018-07-28 11:31:00.000
93.08756,2018-04-30 05:58:00.000,UTC-0300,2018-04-30 09:34:00.000
94.19238,2018-04-03 01:29:00.000,UTC-0300,2018-04-03 10:40:00.000
93.18885,2017-12-23 09:48:00.000,UTC-0700,2017-12-23 15:10:00.000
95.73033,2018-10-02 02:25:00.000,UTC-0300,2018-10-02 09:49:00.000
89.906105,2018-07-29 04:04:00.000,UTC-0300,2018-07-29 11:09:00.000
90.8397,2018-05-20 05:44:00.000,UTC-0300,2018-05-20 12:16:00.000
89.393936,2018-11-28 02:12:00.000,UTC-0400,2018-11-28 10:59:00.000
95.13184,2018-03-13 01:39:00.000,UTC-0300,2018-03-13 09:51:00.000
92.244896,2018-05-07 01:43:00.000,UTC-0300,2018-05-07 09:53:00.000
